DATE,HOMETEAM,AWAYTEAM,FTHG,FTAG,FTTG,Result
5/20/2017,Napoli,Fiorentina,4,1,5,1
5/21/2017,Empoli,Atalanta,0,1,1,0
5/21/2017,Genoa,Torino,2,1,3,1
5/21/2017,Juventus,Crotone,3,0,3,1
5/21/2017,Lazio,Inter,1,3,4,0
5/21/2017,Milan,Bologna,3,0,3,1
5/21/2017,Sassuolo,Cagliari,6,2,8,1
5/21/2017,Udinese,Sampdoria,1,1,2,0
5/22/2017,Pescara,Palermo,2,0,2,1
5/27/2017,Atalanta,Chievo,1,0,1,1
5/27/2017,Bologna,Juventus,1,2,3,0
5/28/2017,Cagliari,Milan,2,1,3,1
5/28/2017,Crotone,Lazio,3,1,4,1
5/28/2017,Fiorentina,Pescara,2,2,4,0
5/28/2017,Inter,Udinese,5,2,7,1
5/28/2017,Palermo,Empoli,2,1,3,1
5/28/2017,Roma,Genoa,3,2,5,1
5/28/2017,Sampdoria,Napoli,2,4,6,0
5/28/2017,Torino,Sassuolo,5,3,8,1
8/19/2017,Juventus,Cagliari,3,0,3,1
8/19/2017,Verona,Napoli,1,3,4,0
8/20/2017,Atalanta,Roma,0,1,1,0
8/20/2017,Bologna,Torino,1,1,2,0
8/20/2017,Crotone,Milan,0,3,3,0
8/20/2017,Inter,Fiorentina,3,0,3,1
8/20/2017,Lazio,Spal,0,0,0,0
8/20/2017,Sampdoria,Benevento,2,1,3,1
8/20/2017,Sassuolo,Genoa,0,0,0,0
8/20/2017,Udinese,Chievo,1,2,3,0
8/26/2017,Benevento,Bologna,0,1,1,0
8/26/2017,Genoa,Juventus,2,4,6,0
8/26/2017,Roma,Inter,1,3,4,0
8/27/2017,Chievo,Lazio,1,2,3,0
8/27/2017,Crotone,Verona,0,0,0,0
8/27/2017,Fiorentina,Sampdoria,1,2,3,0
8/27/2017,Milan,Cagliari,2,1,3,1
8/27/2017,Napoli,Atalanta,3,1,4,1
8/27/2017,Spal,Udinese,3,2,5,1
8/27/2017,Torino,Sassuolo,3,0,3,1
9/9/2017,Juventus,Chievo,3,0,3,1
9/10/2017,Atalanta,Sassuolo,2,1,3,1
9/10/2017,Benevento,Torino,0,1,1,0
9/10/2017,Bologna,Napoli,0,3,3,0
9/10/2017,Cagliari,Crotone,1,0,1,1
9/10/2017,Inter,Spal,2,0,2,1
9/10/2017,Lazio,Milan,4,1,5,1
9/10/2017,Udinese,Genoa,1,0,1,1
9/10/2017,Verona,Fiorentina,0,5,5,0
9/16/2017,Crotone,Inter,0,2,2,0
9/16/2017,Fiorentina,Bologna,2,1,3,1
9/16/2017,Roma,Verona,3,0,3,1
9/17/2017,Chievo,Atalanta,1,1,2,0
9/17/2017,Genoa,Lazio,2,3,5,0
9/17/2017,Milan,Udinese,2,1,3,1
9/17/2017,Napoli,Benevento,6,0,6,1
9/17/2017,Sassuolo,Juventus,1,3,4,0
9/17/2017,Spal,Cagliari,0,2,2,0
9/17/2017,Torino,Sampdoria,2,2,4,0
9/19/2017,Bologna,Inter,1,1,2,0
9/20/2017,Atalanta,Crotone,5,1,6,1
9/20/2017,Benevento,Roma,0,4,4,0
9/20/2017,Cagliari,Sassuolo,0,1,1,0
9/20/2017,Genoa,Chievo,1,1,2,0
9/20/2017,Juventus,Fiorentina,1,0,1,1
9/20/2017,Lazio,Napoli,1,4,5,0
9/20/2017,Milan,Spal,2,0,2,1
9/20/2017,Udinese,Torino,2,3,5,0
9/20/2017,Verona,Sampdoria,0,0,0,0
9/23/2017,Juventus,Torino,4,0,4,1
9/23/2017,Roma,Udinese,3,1,4,1
9/23/2017,Spal,Napoli,2,3,5,0
9/24/2017,Cagliari,Chievo,0,2,2,0
9/24/2017,Crotone,Benevento,2,0,2,1
9/24/2017,Fiorentina,Atalanta,1,1,2,0
9/24/2017,Inter,Genoa,1,0,1,1
9/24/2017,Sampdoria,Milan,2,0,2,1
9/24/2017,Sassuolo,Bologna,0,1,1,0
9/24/2017,Verona,Lazio,0,3,3,0
9/30/2017,Genoa,Bologna,0,1,1,0
9/30/2017,Udinese,Sampdoria,4,0,4,1
10/1/2017,Atalanta,Juventus,2,2,4,0
10/1/2017,Benevento,Inter,1,2,3,0
10/1/2017,Chievo,Fiorentina,2,1,3,1
10/1/2017,Lazio,Sassuolo,6,1,7,1
10/1/2017,Milan,Roma,0,2,2,0
10/1/2017,Napoli,Cagliari,3,0,3,1
10/1/2017,Spal,Crotone,1,1,2,0
10/1/2017,Torino,Verona,2,2,4,0
10/14/2017,Juventus,Lazio,1,2,3,0
10/14/2017,Roma,Napoli,0,1,1,0
10/15/2017,Bologna,Spal,2,1,3,1
10/15/2017,Cagliari,Genoa,2,3,5,0
10/15/2017,Crotone,Torino,2,2,4,0
10/15/2017,Fiorentina,Udinese,2,1,3,1
10/15/2017,Inter,Milan,3,2,5,1
10/15/2017,Sampdoria,Atalanta,3,1,4,1
10/15/2017,Sassuolo,Chievo,0,0,0,0
10/16/2017,Verona,Benevento,1,0,1,1
10/21/2017,Napoli,Inter,0,0,0,0
10/21/2017,Sampdoria,Crotone,5,0,5,1
10/22/2017,Atalanta,Bologna,1,0,1,1
10/22/2017,Benevento,Fiorentina,0,3,3,0
10/22/2017,Chievo,Verona,3,2,5,1
10/22/2017,Lazio,Cagliari,3,0,3,1
10/22/2017,Milan,Genoa,0,0,0,0
10/22/2017,Spal,Sassuolo,0,1,1,0
10/22/2017,Torino,Roma,0,1,1,0
10/22/2017,Udinese,Juventus,2,6,8,0
10/24/2017,Inter,Sampdoria,3,2,5,1
10/25/2017,Atalanta,Verona,3,0,3,1
10/25/2017,Bologna,Lazio,1,2,3,0
10/25/2017,Cagliari,Benevento,2,1,3,1
10/25/2017,Chievo,Milan,1,4,5,0
10/25/2017,Fiorentina,Torino,3,0,3,1
10/25/2017,Genoa,Napoli,2,3,5,0
10/25/2017,Juventus,Spal,4,1,5,1
10/25/2017,Roma,Crotone,1,0,1,1
10/25/2017,Sassuolo,Udinese,0,1,1,0
10/28/2017,Milan,Juventus,0,2,2,0
10/28/2017,Roma,Bologna,1,0,1,1
10/29/2017,Benevento,Lazio,1,5,6,0
10/29/2017,Crotone,Fiorentina,2,1,3,1
10/29/2017,Napoli,Sassuolo,3,1,4,1
10/29/2017,Sampdoria,Chievo,4,1,5,1
10/29/2017,Spal,Genoa,1,0,1,1
10/29/2017,Torino,Cagliari,2,1,3,1
10/29/2017,Udinese,Atalanta,2,1,3,1
10/30/2017,Verona,Inter,1,2,3,0
11/4/2017,Bologna,Crotone,2,3,5,0
11/4/2017,Genoa,Sampdoria,0,2,2,0
11/5/2017,Atalanta,Spal,1,1,2,0
11/5/2017,Cagliari,Verona,2,1,3,1
11/5/2017,Chievo,Napoli,0,0,0,0
11/5/2017,Fiorentina,Roma,2,4,6,0
11/5/2017,Inter,Torino,1,1,2,0
11/5/2017,Juventus,Benevento,2,1,3,1
11/5/2017,Sassuolo,Milan,0,2,2,0
11/18/2017,Napoli,Milan,2,1,3,1
11/18/2017,Roma,Lazio,2,1,3,1
11/19/2017,Benevento,Sassuolo,1,2,3,0
11/19/2017,Crotone,Genoa,0,1,1,0
11/19/2017,Inter,Atalanta,2,0,2,1
11/19/2017,Sampdoria,Juventus,3,2,5,1
11/19/2017,Spal,Fiorentina,1,1,2,0
11/19/2017,Torino,Chievo,1,1,2,0
11/19/2017,Udinese,Cagliari,0,1,1,0
11/20/2017,Verona,Bologna,2,3,5,0
11/25/2017,Bologna,Sampdoria,3,0,3,1
11/25/2017,Cagliari,Inter,1,3,4,0
11/25/2017,Chievo,Spal,2,1,3,1
11/25/2017,Sassuolo,Verona,0,2,2,0
11/26/2017,Genoa,Roma,1,1,2,0
11/26/2017,Juventus,Crotone,3,0,3,1
11/26/2017,Lazio,Fiorentina,1,1,2,0
11/26/2017,Milan,Torino,0,0,0,0
11/26/2017,Udinese,Napoli,0,1,1,0
11/27/2017,Atalanta,Benevento,1,0,1,1
12/1/2017,Napoli,Juventus,0,1,1,0
12/1/2017,Roma,Spal,3,1,4,1
12/2/2017,Torino,Atalanta,1,1,2,0
12/3/2017,Benevento,Milan,2,2,4,0
12/3/2017,Bologna,Cagliari,1,1,2,0
12/3/2017,Fiorentina,Sassuolo,3,0,3,1
12/3/2017,Inter,Chievo,5,0,5,1
12/3/2017,Sampdoria,Lazio,1,2,3,0
12/4/2017,Crotone,Udinese,0,3,3,0
12/4/2017,Verona,Genoa,0,1,1,0
12/9/2017,Cagliari,Sampdoria,2,2,4,0
12/9/2017,Juventus,Inter,0,0,0,0
12/10/2017,Chievo,Roma,0,0,0,0
12/10/2017,Milan,Bologna,2,1,3,1
12/10/2017,Napoli,Fiorentina,0,0,0,0
12/10/2017,Sassuolo,Crotone,2,1,3,1
12/10/2017,Spal,Verona,2,2,4,0
12/10/2017,Udinese,Benevento,2,0,2,1
12/11/2017,Lazio,Torino,1,3,4,0
12/12/2017,Genoa,Atalanta,1,2,3,0
12/16/2017,Inter,Udinese,1,3,4,0
12/16/2017,Roma,Cagliari,1,0,1,1
12/16/2017,Torino,Napoli,1,3,4,0
12/17/2017,Atalanta,Lazio,3,3,6,0
12/17/2017,Benevento,Spal,1,2,3,0
12/17/2017,Bologna,Juventus,0,3,3,0
